ìsìπï{åß,2016/é¿âÑí∑,2016/ï‹ëïçœâÑí∑,2016/ï‹ëïó¶,2017/é¿âÑí∑,2017/ï‹ëïçœâÑí∑,2017/ï‹ëïó¶,2018/é¿âÑí∑,2018/ï‹ëïçœâÑí∑,2018/ï‹ëïó¶,2019/é¿âÑí∑,2019/ï‹ëïçœâÑí∑,2019/ï‹ëïó¶,2020/é¿âÑí∑,2020/ï‹ëïçœâÑí∑,2020/ï‹ëïó¶,2021/é¿âÑí∑,2021/ï‹ëïçœâÑí∑,2021/ï‹ëïó¶,2022/é¿âÑí∑,2022/ï‹ëïçœâÑí∑,2022/ï‹ëïó¶,2023/é¿âÑí∑,2023/ï‹ëïçœâÑí∑,2023/ï‹ëïó¶,2024/é¿âÑí∑,2024/ï‹ëïçœâÑí∑,2025/ï‹ëïó¶
40ïüâ™åß,"29,382.1","3,882.6",13.2,"29,393.0","3,947.9",13.4,"29,479.3","3,991.3",13.5,"29,539.7","4,014.6",13.6,"29,581.1","4,047.6",13.7,"29,601.1","4,076.8",13.8,"29,641.2","4,097.1",13.8,"29,679.8","4,133.2",13.9,"29,702.9","4,172.0",14.0
41ç≤âÍåß,"10,970.7","2,895.1",26.4,"10,990.5","2,908.1",26.5,"11,001.6","3,045.5",27.7,"11,026.9","3,054.2",27.7,"11,024.9","3,096.5",28.1,"11,037.9","3,102.3",28.1,"11,050.3","3,093.4",28.0,"11,072.9","3,106.9",28.1,"11,080.0","3,112.5",28.1
42í∑çËåß,"18,037.2","6,202.9",34.4,"18,041.0","6,237.8",34.6,"18,044.3","6,240.4",34.6,"18,074.7","6,253.1",34.6,"18,078.3","6,259.1",34.6,"18,077.4","6,258.5",34.6,"18,079.6","6,265.1",34.7,"18,094.1","6,314.9",34.9,"18,117.8","6,326.6",34.9
43åFñ{åß,"22,188.6","5,976.2",26.9,"22,212.0","6,007.2",27.0,"22,240.2","6,106.1",27.5,"22,262.5","6,078.0",27.3,"22,311.8","6,122.5",27.4,"22,365.6","6,149.0",27.5,"22,393.3","6,197.5",27.7,"22,426.1","6,220.8",27.7,"22,336.8","6,200.1",27.8
44ëÂï™åß,"18,423.7","6,702.6",36.4,"18,452.1","6,737.4",36.5,"18,509.4","6,779.4",36.6,"18,538.6","6,811.6",36.7,"18,563.7","6,844.4",36.9,"18,595.9","6,858.8",36.9,"18,650.4","6,904.7",37.0,"18,649.0","6,919.1",37.1,"18,681.7","6,958.1",37.2
45ã{çËåß,"20,143.4","4,398.3",21.8,"20,152.7","4,419.9",21.9,"20,145.1","4,448.7",22.1,"20,183.4","4,489.2",22.2,"20,200.8","4,505.4",22.3,"20,212.1","4,551.0",22.5,"20,229.0","4,563.7",22.6,"20,249.9","4,584.0",22.6,"20,275.3","4,590.9",22.6
46  é≠éôìáåß,"27,283.3","6,133.3",22.5,"27,301.0","6,189.3",22.7,"27,354.3","6,190.2",22.6,"27,369.7","6,252.1",22.8,"27,403.8","6,282.0",22.9,"27,423.5","6,296.3",23.0,"27,474.1","6,329.4",23.0,"27,528.8","6,307.1",22.9,"27,518.8","6,291.5",22.9
47â´ìÍåß,"8,132.4","4,105.4",50.5,"8,145.1","4,128.2",50.7,"8,141.0","4,127.9",50.7,"8,174.2","4,179.3",51.1,"8,196.1","4,208.2",51.3,"8,208.9","4,233.5",51.6,"8,230.4","4,309.7",52.4,"8,250.2","4,308.3",52.2,"8,267.8","4,324.2",52.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
